Rank; English; Russian; Turkish
1; to be; быть; olmak
2; to have; иметь; sahip olmak
3; to do; делать; yapmak
4; to say; сказать; söylemek
5; to go; идти; gitmek
6; to get (receive); получать; almak
7; to make; делать (создавать); yapmak
8; to know; знать; bilmek
9; to think; думать; düşünmek
10; to take; брать; almak
11; to see; видеть; görmek
12; to come; приходить; gelmek
13; to want; хотеть; istemek
14; to look; смотреть; bakmak
15; to use; использовать; kullanmak
16; to find; находить; bulmak
17; to give; давать; vermek
18; to tell; рассказывать; anlatmak
19; to work; работать; çalışmak
20; to call (phone); звонить; aramak
21; to try; пытаться; denemek
22; to ask; спрашивать; sormak
23; to need; нуждаться; ihtiyaç duymak
24; to feel; чувствовать; hissetmek
25; to become; становиться; olmak
26; to leave; покидать; ayrılmak
27; to put; класть; koymak
28; to mean; значить; anlamına gelmek
29; to keep; держать; tutmak
30; to let (allow); позволять; izin vermek
31; to begin; начинать; başlamak
32; to seem; казаться; görünmek
33; to help; помогать; yardım etmek
34; to show; показывать; göstermek
35; to hear; слышать; duymak
36; to play; играть; oynamak
37; to run; бегать; koşmak
38; to move; двигаться; hareket etmek
39; to like; нравиться; sevmek
40; to live; жить; yaşamak
41; to believe; верить; inanmak
42; to hold; держать; tutmak
43; to bring; приносить; getirmek
44; to write; писать; yazmak
45; to provide; предоставлять; sağlamak
46; to sit; сидеть; oturmak
47; to stand; стоять; ayakta durmak
48; to lose; терять; kaybetmek
49; to pay; платить; ödemek
50; to meet; встречать; buluşmak
51; to include; включать; içermek
52; to continue; продолжать; devam etmek
53; to set (put, place); ставить; koymak
54; to learn; учить(ся); öğrenmek
55; to change; менять; değiştirmek
56; to lead; вести; öncülük etmek
57; to understand; понимать; anlamak
58; to watch; смотреть; izlemek
59; to follow; следовать; takip etmek
60; to stop; останавливать; durmak
61; to create; создавать; yaratmak
62; to speak; говорить; konuşmak
63; to read; читать; okumak
64; to allow; разрешать; izin vermek
65; to add; добавлять; eklemek
66; to spend; тратить; harcamak
67; to grow; расти; büyümek
68; to open; открывать; açmak
69; to walk; ходить; yürümek
70; to win; выигрывать; kazanmak
71; to offer; предлагать; teklif etmek
72; to remember; помнить; hatırlamak
73; to love; любить; sevmek
74; to consider; рассматривать; düşünmek
75; to appear; появляться; görünmek
76; to buy; покупать; satın almak
77; to wait; ждать; beklemek
78; to serve; обслуживать; hizmet etmek
79; to die; умирать; ölmek
80; to send; отправлять; göndermek
81; to expect; ожидать; beklemek
82; to build; строить; inşa etmek
83; to stay; оставаться; kalmak
84; to fall; падать; düşmek
85; to cut; резать; kesmek
86; to reach; достигать; ulaşmak
87; to kill; убивать; öldürmek
88; to remain; оставаться; kalmak
89; to suggest; предлагать; önermek
90; to raise (lift); поднимать; kaldırmak
91; to pass; проходить; geçmek
92; to sell; продавать; satmak
93; to require; требовать; gerektirmek
94; to report; сообщать; bildirmek
95; to decide; решать; karar vermek
96; to pull; тянуть; çekmek
97; to return; возвращаться; dönmek
98; to explain; объяснять; açıklamak
99; to hope; надеяться; ummak
100; to develop; развивать; geliştirmek
101; to carry; нести; taşımak
102; to break; ломать; kırmak
103; to receive; получать; almak
104; to agree; соглашаться; anlaşmak
105; to support; поддерживать; desteklemek
106; to hit; ударять; vurmak
107; to produce; производить; üretmek
108; to eat; есть; yemek
109; to cover; покрывать; örtmek
110; to catch; ловить; yakalamak
111; to draw; рисовать; çizmek
112; to choose; выбирать; seçmek
113; to touch; трогать; dokunmak
114; to teach; учить (кого-то); öğretmek
115; to reach (arrive); добираться; ulaşmak
116; to serve (food); подавать; servis yapmak
117; to represent; представлять; temsil etmek
118; to fill; наполнять; doldurmak
119; to visit; посещать; ziyaret etmek
120; to claim; утверждать; iddia etmek
121; to act; действовать; hareket etmek
122; to miss; скучать; özlemek
123; to enjoy; наслаждаться; zevk almak
124; to avoid; избегать; kaçınmak
125; to imagine; представлять; hayal etmek
126; to describe; описывать; tanımlamak
127; to suggest (recommend); советовать; önermek
128; to prefer; предпочитать; tercih etmek
129; to protect; защищать; korumak
130; to discover; обнаруживать; keşfetmek
131; to express; выражать; ifade etmek
132; to refuse; отказывать; reddetmek
133; to prepare; готовить; hazırlamak
134; to manage; управлять; yönetmek
135; to join; присоединяться; katılmak
136; to pick; выбирать; seçmek
137; to listen; слушать; dinlemek
138; to worry; волноваться; endişelenmek
139; to recognize; узнавать; tanımak
140; to lay (put down); класть; koymak
141; to realize; осознавать; fark etmek
142; to accept; принимать; kabul etmek
143; to mention; упоминать; bahsetmek
144; to attend; посещать; katılmak
145; to handle; справляться; başa çıkmak
146; to shake; трясти; sallamak
147; to laugh; смеяться; gülmek
148; to smile; улыбаться; gülümsemek
149; to afford; позволять себе; karşılamak
150; to announce; объявлять; duyurmak
151; to suffer; страдать; acı çekmek
152; to compare; сравнивать; karşılaştırmak
153; to depend; зависеть; bağlı olmak
154; to prefer; предпочитать; tercih etmek
155; to encourage; поощрять; teşvik etmek
156; to reflect; отражать; yansıtmak
157; to connect; соединять; bağlamak
158; to contain; содержать; içermek
159; to demand; требовать; talep etmek
160; to fit; подходить; uymak
161; to gain; получать (выгоду); kazanmak
162; to perform; выполнять; gerçekleştirmek
163; to refer; ссылаться; atıfta bulunmak
164; to relate; относиться; ilişkilendirmek
165; to rely; полагаться; güvenmek
166; to replace; заменять; değiştirmek
167; to save (money); экономить; biriktirmek
168; to save (rescue); спасать; kurtarmak
169; to separate; разделять; ayırmak
170; to share; делиться; paylaşmak
171; to solve; решать (проблему); çözmek
172; to suggest (put forward); предлагать; önermek
173; to suppose; предполагать; varsaymak
174; to survive; выживать; hayatta kalmak
175; to tend; иметь склонность; eğiliminde olmak
176; to train; тренировать; eğitmek
177; to treat; лечить; tedavi etmek
178; to treat (behave); обращаться; davranmak
179; to warn; предупреждать; uyarmak
180; to wish; желать; dilemek
181; to wonder; интересоваться; merak etmek
182; to arrange; организовывать; düzenlemek
183; to assume; предполагать; varsaymak
184; to attract; привлекать; çekmek
185; to base; основывать; dayandırmak
186; to beat; бить; dövmek
187; to belong; принадлежать; ait olmak
188; to blame; обвинять; suçlamak
189; to borrow; брать взаймы; ödünç almak
190; to breathe; дышать; nefes almak
191; to celebrate; праздновать; kutlamak
192; to complain; жаловаться; şikayet etmek
193; to confirm; подтверждать; onaylamak
194; to connect; соединять; bağlamak
195; to consist; состоять; oluşmak
196; to contribute; способствовать; katkıda bulunmak
197; to convince; убеждать; ikna etmek
198; to cope; справляться; başa çıkmak
199; to define; определять; tanımlamak
200; to delay; задерживать; geciktirmek
201; to deliver; доставлять; teslim etmek
202; to deny; отрицать; inkar etmek
203; to depend (on); зависеть (от); bağlı olmak
204; to destroy; разрушать; yok etmek
205; to determine; определять; belirlemek
206; to disappear; исчезать; kaybolmak
207; to discover; обнаруживать; keşfetmek
208; to divide; делить; bölmek
209; to doubt; сомневаться; şüphelenmek
210; to dress; одеваться; giyinmek
211; to drop; ронять; düşürmek
212; to earn; зарабатывать; kazanmak
213; to educate; обучать; eğitmek
214; to enable; давать возможность; olanak sağlamak
215; to encourage; поощрять; teşvik etmek
216; to engage; вовлекать; meşgul olmak
217; to examine; исследовать; incelemek
218; to exist; существовать; var olmak
219; to expand; расширять; genişletmek
220; to expect; ожидать; beklemek
221; to experience; испытывать; deneyimlemek
222; to explore; исследовать; keşfetmek
223; to extend; расширять; uzatmak
224; to face; сталкиваться; yüzleşmek
225; to fail; терпеть неудачу; başarısız olmak
226; to feed; кормить; beslemek
227; to fight; бороться; kavga etmek
228; to fix; чинить; tamir etmek
229; to fly; летать; uçmak
230; to force; заставлять; zorlamak
231; to gain; получать; kazanmak
232; to handle; справляться; başa çıkmak
233; to hang; вешать; asmak
234; to hate; ненавидеть; nefret etmek
235; to hide; прятать; saklamak
236; to identify; идентифицировать; tanımlamak
237; to ignore; игнорировать; görmezden gelmek
238; to imagine; воображать; hayal etmek
239; to import; импортировать; ithal etmek
240; to improve; улучшать; geliştirmek
241; to include; включать; içermek
242; to indicate; указывать; belirtmek
243; to influence; влиять; etkilemek
244; to inform; информировать; bilgilendirmek
245; to intend; намереваться; niyet etmek
246; to introduce; представлять; tanıtmak
247; to invent; изобретать; icat etmek
248; to invite; приглашать; davet etmek
249; to involve; вовлекать; dahil etmek
250; to judge; судить; yargılamak
251; to jump; прыгать; zıplamak
252; to knock; стучать; vurmak
253; to laugh; смеяться; gülmek
254; to lay (down); класть; koymak
255; to lead; вести; liderlik etmek
256; to learn; учиться; öğrenmek
257; to lend; одалживать; ödünç vermek
258; to lie (not tell truth); лгать; yalan söylemek
259; to lift; поднимать; kaldırmak
260; to link; связывать; bağlamak
261; to list; перечислять; listelemek
262; to lock; запирать; kilitlemek
263; to maintain; поддерживать; sürdürmek
264; to manage; управлять; yönetmek
265; to mark; отмечать; işaretlemek
266; to match; соответствовать; eşleşmek
267; to matter; иметь значение; önemli olmak
268; to measure; измерять; ölçmek
269; to mention; упоминать; bahsetmek
270; to mind; возражать; aldırmak
271; to miss (fail to catch); пропускать; kaçırmak
272; to mix; смешивать; karıştırmak
273; to move (change place); переезжать; taşınmak
274; to name; называть; adlandırmak
275; to notice; замечать; fark etmek
276; to obtain; получать; elde etmek
277; to occur; происходить; meydana gelmek
278; to offer; предлагать; teklif etmek
279; to open; открывать; açmak
280; to order; заказывать; sipariş vermek
281; to organize; организовывать; organize etmek
282; to own; владеть; sahip olmak
283; to pack; упаковывать; paketlemek
284; to paint; красить; boyamak
285; to park; парковать; park etmek
286; to participate; участвовать; katılmak
287; to pass (go by); проходить; geçmek
288; to perform; выступать; performans sergilemek
289; to permit; разрешать; izin vermek
290; to pick (choose); выбирать; seçmek
291; to place; размещать; yerleştirmek
292; to plan; планировать; planlamak
293; to plant; сажать; dikmek
294; to point; указывать; işaret etmek
295; to possess; обладать; sahip olmak
296; to pour; наливать; dökmek
297; to practice; практиковать; pratik yapmak
298; to prefer; предпочитать; tercih etmek
299; to prepare; готовить; hazırlamak
300; to present; представлять; sunmak
